station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
7380_Skocjan,trained,,0.008555711244294125,0.00010614738443722026,0.010302785275701918,0.03558677305511651,0.002988344545099955,0.05466575294551384,models\hidro\model_7380_Skocjan.keras,models\hidro\pipeline_7380_Skocjan.pkl,1694.0,1670.0
7440_Sodrazica,trained,,0.013583600711709143,0.00034202407379614624,0.018493892878357066,0.013598974357447361,0.0007408693521023748,0.02721891533662528,models\hidro\model_7440_Sodrazica.keras,models\hidro\pipeline_7440_Sodrazica.pkl,1687.0,1663.0
7488_Prigorica,trained,,0.013996711488192278,0.0002339826836492082,0.015296492527674708,0.03837926695163419,0.0027187165433323734,0.05214131321066217,models\hidro\model_7488_Prigorica.keras,models\hidro\pipeline_7488_Prigorica.pkl,1696.0,1672.0
7498_Blate,skipped,empty feature columns: ['pretok'],,,,,,,,,,
8031_Krsovec,trained,,0.046497411146346035,0.002190624074740483,0.04680410318273904,0.011892643252180722,0.0002582727293843935,0.016070865856710817,models\hidro\model_8031_Krsovec.keras,models\hidro\pipeline_8031_Krsovec.pkl,1674.0,1650.0
8080_Kobarid,trained,,0.01879894822743629,0.00039965896154752823,0.019991472220612674,0.010283958655215204,0.00034883453244680693,0.01867711252969278,models\hidro\model_8080_Kobarid.keras,models\hidro\pipeline_8080_Kobarid.pkl,1697.0,1673.0
8180_Solkan,trained,,0.028295295575549828,0.001143565899501853,0.03381665121655089,0.016737468992735823,0.0011119472675457207,0.03334587332108308,models\hidro\model_8180_Solkan.keras,models\hidro\pipeline_8180_Solkan.pkl,1703.0,1679.0
8270_Zaga,skipped,empty feature columns: ['temp_vode'],,,,,,,,,,
8332_Tolmin,trained,,0.031752695375419894,0.0010512590082362818,0.03242312459088855,0.010166658894907516,0.00026465472471215066,0.016268212093286424,models\hidro\model_8332_Tolmin.keras,models\hidro\pipeline_8332_Tolmin.pkl,1697.0,1673.0
8350_Podroteja,trained,,0.016645677304498983,0.00029561130276629396,0.017193350539272265,0.010921038706790587,0.0005313381182523007,0.023050772617253,models\hidro\model_8350_Podroteja.keras,models\hidro\pipeline_8350_Podroteja.pkl,1693.0,1669.0
8351_Podroteja,trained,,0.024805395243068545,0.0008027576767800963,0.028332978607624303,0.0212843984370559,0.0023314878138151,0.048285482433285266,models\hidro\model_8351_Podroteja.keras,models\hidro\pipeline_8351_Podroteja.pkl,1695.0,1671.0
8450_Hotesk,trained,,0.026827304250383304,0.0008123987189459593,0.028502608984897492,0.01487428215731786,0.0008168351516473952,0.028580328053530023,models\hidro\model_8450_Hotesk.keras,models\hidro\pipeline_8450_Hotesk.pkl,1696.0,1672.0
8453_Podroteja,skipped,"empty feature columns: ['vodostaj', 'pretok', 'temp_vode']",,,,,,,,,,
8454_Cerkno,trained,,0.015663325915940402,0.0002820116722910166,0.01679320315755802,0.01857164801279085,0.0010495557069247598,0.03239684717568609,models\hidro\model_8454_Cerkno.keras,models\hidro\pipeline_8454_Cerkno.pkl,1632.0,1608.0
8561_Vipava,trained,,0.03750405376024953,0.001427113829324542,0.03777716015431205,0.026738003312142943,0.0018684599458556768,0.04322568618143241,models\hidro\model_8561_Vipava.keras,models\hidro\pipeline_8561_Vipava.pkl,1445.0,1421.0
8565_Dolenje,trained,,0.04079106235359275,0.0016931382349777702,0.04114776099592504,0.012810893487773296,0.0007220416575419797,0.026870832840497887,models\hidro\model_8565_Dolenje.keras,models\hidro\pipeline_8565_Dolenje.pkl,1650.0,1626.0
8591_Zalosce,trained,,0.0019333836223397922,5.3228275579669915e-06,0.0023071253884362226,0.018468698391031216,0.0015713931223089103,0.03964080123192404,models\hidro\model_8591_Zalosce.keras,models\hidro\pipeline_8591_Zalosce.pkl,1615.0,1591.0
8601_Miren,trained,,0.03827174463682736,0.0015514333387763506,0.03938823858433315,0.01943883877643352,0.0017403841339819395,0.041717911428808846,models\hidro\model_8601_Miren.keras,models\hidro\pipeline_8601_Miren.pkl,1697.0,1673.0
