hidro_station,weather_station,status,hidro_rows,weather_rows,start_time,end_time,reason
8350_Podroteja,OTLICA,ok,503.0,718.0,2025-07-01 22:30:00,2025-07-18 23:30:00,
8351_Podroteja,OTLICA,ok,503.0,718.0,2025-07-01 22:30:00,2025-07-18 23:30:00,
8450_Hotesk,OTLICA,skipped,,,,,hidro file missing
8454_Cerkno,DAVCA,ok,500.0,614.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8561_Vipava,PODNANOS,ok,500.0,598.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8565_Dolenje,PODNANOS,ok,500.0,598.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8591_Zalosce,BILJE,skipped,,,,,hidro file missing
8601_Miren,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8610_Podnanos,PODNANOS,ok,500.0,598.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8630_Ajdovscina,PODNANOS,skipped,,,,,hidro file missing
8640_Branik,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8670_Bezovljak,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8680_Neblo,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8700_Neblo,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8710_Potoki,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
9015_Trpcane,POSTOJNA,skipped,,,,,hidro file missing
9030_Trnovo,POSTOJNA,ok,500.0,605.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
9108_Zarecica,POSTOJNA,skipped,,,,,hidro file missing
9210_Kubed,KUBED,ok,500.0,606.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
9240_Dekani,KOPER,ok,500.0,722.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
9275_Salara,KOPER,skipped,,,,,hidro file missing
9280_Pisine,KOPER,skipped,,,,,hidro file missing
9300_Podkastel,KOPER,skipped,,,,,hidro file missing
